Bug ID,Bigrams
1357039,"['firefox tour', 'customize firefox']"
1359062,"['panel might', 'download panel', 'dark blue', 'e g', 'dark gray']"
1357056,['completed tour']
1378164,"['debug created', 'central rev', 'initially created', 'comm central', 'warning obs']"
1386531,"['browser settings', 'browser setting', 'default browser', 'add smile', 'setting smile']"
1365958,"['video attached', 'created attachment']"
1371904,"['home actual', 'reproduce start', 'mozilla logo', 'start nightly', 'icon overlaps']"
1357015,"['anywhere outside', 'clicking anywhere']"
1348735,"['central rev', 'two different', 'bug central', 'different labels']"
1379596,"['job id', 'runs artifacts', 'task runs', 'backing log', 'id repo']"
1386536,"['left side', 'move search', 'input see', 'search input', 'search result']"
1358369,"['data mozilla', 'mozilla org', 'main thread', 'long running', 'call stack']"
1357016,['specific tour']
1329342,"['expose multi', 'configuration options', 'multi process', 'process configuration', 'end users']"
1390590,"['indent icon', 'tabs sidebar', 'created attachment', 'attachment jpg', 'synced tabs']"
1357033,"['user visits', 'mark add']"
1372419,"['patch sadly', 'breaks accessibility', 'device menuitem', 'straightforward patch', 'always show']"
1326826,"['hold left', 'er popup', 'ar popup', 'left mouse', 'visible open']"
1357050,"['browsing tour', 'browsing window', 'user opens', 'private browsing', 'mark private']"
1402985,"['batch view', 'less likely', 'substantially less', 'view since', 'telemetry batch']"
1378390,"['photon builds', 'non photon', 'inc mn', 'get packaged', 'chevron animation']"
1357035,['search tour']
1333510,"['allow list', 'release mpc', 'dot release', 'list setting', 'mpc false']"
1357051,"['default browser', 'browser tour']"
1376337,"['menu whenever', 'click outside']"
1379549,"['document edit', 'slide id', 'description items', 'visual update', 'edit slide']"
1357037,"['mark one', 'search bar', 'user clicks', 'search tour']"
1401439,"['split issue', 'bug cgi', 'cgi id', 'tall id', 'id normal']"
1392471,"['dot forever', 'appear add', 'dot instead', 'add test', 'test cases']"
1382515,['search input']
1382700,"['str enter', 'open web', 'around actual', 'never closes', 'rev browser']"
1357497,"['yet eu', 'widely yet', 'slide id', 'id p', 'chrome users']"
1330578,"['users set', 'many users', 'users customize', 'set pages', 'using current']"
1330925,"['product team', 'change options', 'users customize', 'acceptance criteria', 'firefox updates']"
1328458,"['per bug', 'bug comment', 'time ago', 'customize xul', 'ago seems']"
1371520,"['screenshot tour', 'overlay aims', 'new user']"
1357045,"['customize firefox', 'mark customize', 'firefox tour']"
1359452,"['resource gre', 'gre modules', 'suddenly noticed']"
1412255,"['bubble state', 'append bubble', 'speech bubble', 'icon click', 'bubble stat']"
1374563,"['screenshot widget', 'enabled mozilla']"
1360030,"['browser content', 'content browser', 'update resource', 'resource gre', 'gre modules']"
1371532,"['updated user', 'overlay aims']"
1357312,"['checkbox component', 'component become', 'make checkbox', 'photon style', 'become photon']"
1371533,"['library download', 'download tour', 'download view']"
1358498,"['page illustration', 'design screens', 'photon design', 'update layout']"
1357313,"['component become', 'button component', 'become photon', 'photon style', 'make radio']"
1371534,"['view aims', 'search tour', 'search view', 'single search']"
1381642,"['ad hoc', 'via ad', 'huge amount', 'first cut', 'bookmark validator']"
1349409,"['js stack', 'got us', 'quite sure', 'exist js', 'specifically got']"
1371535,"['screenshot tour', 'screenshot view']"
1357315,"['make input', 'photon style', 'become photon', 'component become', 'input field']"
1365531,"['bugs user', 'next unfinished', 'click fox', 'fox icon', 'user click']"
1330913,"['product team', 'experience acceptance', 'change block', 'users customize', 'acceptance criteria']"
1330922,"['check uncheck', 'product team', 'choose never', 'never remember', 'custom settings']"
1357055,"['mark default', 'browser tour', 'default browser']"
1378162,"['paragraph stops', 'reduced quite', 'screen size', 'line breaking', 'breaking dismiss']"
1330923,"['experience acceptance', 'remember logins', 'sites try', 'acceptance criteria', 'dangerous downloads']"
1371541,"['single search', 'search tour']"
1373197,"['constantly even', 'spinning constantly', 'quite high', 'stream appears', 'html io']"
1365547,"['content activity', 'stream html', 'data content', 'activity stream']"
1389916,"['makes performance', 'name jak', 'html description', 'example name', 'delete description']"
1386004,"['compact dark', 'compact light', 'normal themes']"
1416931,"['rc builds', 'see bug']"
1404017,"['windows resist', 'fingerprinting false', 'pb windows', 'resist fingerprinting', 'enable fingerprinting']"
1352847,"['available also', 'also typing', 'ctrl enter', 'youtube ctrl', 'type youtube']"
1356670,"['chrome browser', 'browser content']"
1366891,"['might get', 'never dupe', 'child order', 'another normal', 'work around']"
