Bug ID,Bigrams
1418073,"['user agent', 'actual results', 'os actual', 'expected results', 'id steps']"
1369688,"['search bar', 'bar using', 'awesome bar', 'arrow key', 'type moz']"
1332106,"['us firefox', 'actual results', 'use make', 'g c', 'master open']"
1328104,"['irc expected', 'nightly irc', 'search engine', 'new search', 'search preferences']"
1333599,"['popup blocker', 'build id', 'id steps', 'bar displays', 'onbeforeunload dialog']"
1351282,"['dialog looks', 'looks really', 'made stricter', 'agent mozilla', 'migrate data']"
1393608,"['low priority', 'id steps', 'user agent', 'build id', 'changes expected']"
1405253,"['agent mozilla', 'user agent', 'attachment png', 'created attachment', 'mozilla gecko']"
1403128,"['user mozilla', 'installed via', 'developer update', 'web pages', 'reproduce new']"
1382074,"['expected results', 'box expected', 'build id', 'manual configuration', 'id steps']"
1386288,"['stream one', 'created attachment', 'activity stream', 'problem reported', 'new activity']"
1380474,"['one idea', 'tricky one', 'separator exists', 'order children', 'normal separator']"
1389573,"['space another', 'another problem', 'aka flexible', 'flexible space', 'big visual']"
1416626,"['loaded tab', 'please see', 'tab right', 'new tab', 'actual results']"
1398407,"['firefox features', 'gecko firefox', 'user agent', 'nightly icon', 'id steps']"
1337289,"['low risk', 'never load', 'load untrusted', 'plus side', 'opinion yet']"
1381162,"['star button', 'top menu', 'menu whatever', 'search bar', 'seems like']"
1391625,"['got much', 'anymore although', 'much larger', 'supported anymore', 'gecko firefox']"
1391119,"['created attachment', 'preferences actual', 'account preferences', 'actual results', 'id steps']"
1402800,"['current window', 'window options', 'aio html', 'message security', 'error message']"
1361209,"['scaling artifacts', 'good one', 'look super', 'download button', 'super corrupt']"
1396979,"['active ar', 'window add', 'new window', 'open customize', 'right focus']"
1363313,"['could show', 'without showing', 'languages using', 'show somewhat', 'font weight']"
1378296,"['reproduce manually', 'actual results', 'entered url', 'url entered', 'manually entering']"
1353779,"['new page', 'page added', 'displayed also', 'firefox build', 'reproduce disable']"
1392025,"['search field', 'reproduce searching', 'bookmarks tree', 'user agent', 'systems gnu']"
1400650,"['tab page', 'gecko firefox', 'relatively simple', 'new tab', 'easier access']"
1336844,"['mozilla gecko', 'agent mozilla', 'www yahoo', 'previous versions', 'goes back']"
1392041,"['gain focus', 'top bottom', 'clicks white', 'user clicks', 'results user']"
1389711,"['also supported', 'address bar', 'agent mozilla', 'includes control', 'previous items']"
1385371,"['get behind', 'effectively become', 'something like', 'bookmarks system', 'organized according']"
1416545,"['middle click', 'step middle', 'make sure', 'true click', 'menu click']"
1415542,"['firefox build', 'power users', 'gecko firefox', 'many software', 'area expected']"
1419667,"['installed visit', 'tab actual', 'actual results', 'screen shot', 'register click']"
1398465,"['build id', 'switch away', 'id steps', 'user agent', 'tab page']"
1364966,"['enabled tried', 'deactivate incompatible', 'multiple bugs', 'normal booting', 'allow non']"
1404597,"['first opened', 'build id', 'id steps', 'firefox build', 'windows actual']"
