Bug ID,Bigrams
1655196,"['fundamentally broken', 'crash reporting', 'minidump header', 'something fundamentally', 'high ratio']"
1482876,"['brief crash', 'crash report', 'protocol witness', 'partial apply', 'thread crashed']"
1331985,"['uikit uiviewcontroller', 'description uikit', 'linenumber description', 'last exception', 'video player']"
1494388,"['revision demonstrates', 'android opt', 'tier revision', 'persistent test', 'repo try']"
1568667,"['see bug', 'support see']"
1561018,"['edit gid', 'old gecko', 'work breakdown', 'moving gv', 'glean edit']"
1401444,"['planned test', 'parse manifest', 'screen parse', 'home screen']"
1618579,"['created attachment', 'html load', 'load minimal', 'minimal example', 'text observe']"
1453515,"['browser firefox', 'application pdf', 'net pdf', 'cloudfront net', 'https cloudfront']"
1478376,"['device aspect', 'returns nan', 'works fine', 'aspect ratio', 'ratio returns']"
1658462,"['run ns', 'main ns', 'loop ns', 'notification ns', 'unknown unknown']"
1651216,"['bp top', 'beta base', 'base apk', 'report bp', 'firefox beta']"
1719515,"['apps publish', 'new apps', 'make sure', 'publish aab', 'aab instead']"
1630144,"['current browser', 'browser windows', 'undefined gv', 'multi account', 'access browser']"
1368719,"['data loss', 'fully recoverable', 'database recovery', 'recovery fails']"
1509901,"['big usability', 'pretty big', 'method implementations', 'usability win', 'default method']"
1401598,"['tab notification', 'work without', 'sent regular', 'sent also', 'without intervention']"
1439051,"['use multiprocess', 'go fullscreen']"
1504011,[]
1487450,"['devices like', 'maybe increased']"
1577018,[]
1422440,"['sync field', 'appears cut', 'string appears', 'rtl string', 'right end']"
1598696,"['chrome safari', 'google play', 'app com', 'different crashes', 'pid tid']"
1384188,"['could see', 'see errors', 'errors messages', 'app extensions', 'messages originating']"
1441249,"['tab tp', 'tp stats', 'per tab', 'reload event', 'stats object']"
1512639,"['related features', 'card autofill', 'payments apis', 'allow embedding', 'implement credit']"
1424706,"['beta str', 'expected results', 'clear actual', 'ipad build', 'device ipad']"
1369881,"['core ping', 'mobile telemetry', 'also use', 'telemetry ios', 'ui event']"
1439913,"['build products', 'called within', 'app plugins', 'runner app', 'next screenshot']"
1640283,"['using gecko', 'current api', 'edit heading', 'applications using', 'heading h']"
1694220,['updating soon']
1641586,[]
1471560,"['crashing thread', 'crash reason', 'always moz', 'moz crash', 'commit gfx']"
1573584,"['report bp', 'bp top', 'crash report', 'space dalvik', 'motorola running']"
1450495,[]
1465387,['see bug']
1567640,"['builds application', 'example builds', 'build everything', 'application code', 'android build']"
1450486,['json payload']
1586037,[]
1478687,"['reproduce open', 'open settings', 'login expected', 'expected login', 'settings login']"
1450487,"['receiving device', 'involves finding', 'push keys']"
1507857,"['high enough', 'suggested using', 'enough budget']"
1348392,"['socks proxy', 'make fingerprinting']"
1533840,"['add methods', 'jsonobject bodies', 'pretty common', 'bodies instead']"
1389511,"['created attachment', 'attachment screen', 'screen shot', 'ui tests', 'simulator builds']"
1490081,"['lets support', 'new autofill', 'autofill spec']"
1450480,"['object generated', 'fully spec', 'yet edit', 'capabilities json', 'json blob']"
1457601,"['everything work', 'make everything']"
1450481,"['registration fails', 'apns push', 'push registration', 'encrypting tab', 'sending tabs']"
1450482,"['clients collection', 'synchronized via']"
1508969,"['promise type', 'type requires', 'developer experience', 'kotlin boilerplate', 'kotlin interface']"
1450493,"['later include', 'scroll position', 'back forward', 'may include', 'include changing']"
1450483,"['later use', 'well known', 'client configuration', 'configuration store']"
1682666,"['help resolve', 'resolve bugs']"
1367963,"['pull files', 'files diff', 'ios pull', 'firefox ios', 'mobile firefox']"
1400727,"['central object', 'object object', 'mozilla central', 'com job', 'mozilla com']"
1400719,"['object object', 'central object', 'job id', 'com job', 'mozilla central']"
1400726,"['job id', 'object object', 'central object', 'com job', 'id repo']"
1690356,"['crash report', 'org report', 'related crash', 'report stats', 'mozilla org']"
1694985,"['threads taskqueue', 'mozilla taskqueue', 'taskqueue cpp', 'crash report', 'taskqueue runner']"
1712785,"['view view', 'view viewgroup', 'android view', 'os handler', 'android os']"
1727150,"['android cpu', 'cpu architectures']"
1647011,"['gfx layers', 'args wrap', 'mozilla layers', 'layers ipc', 'jni args']"
1742122,"['source dom', 'api therefore', 'removed central', 'central source']"
1631066,"['process load', 'webpage notice', 'str start', 'nightly kill', 'working open']"
1663591,['gv mobile']
1684996,"['run gfx', 'report index', 'test case', 'created attachment', 'top frames']"
1662211,"['provided device', 'button expected', 'device information', 'http code', 'code error']"
1691055,"['error category', 'error request', 'failed error', 'request failed', 'com str']"
1677198,"['cross origin', 'origin opener', 'html cross', 'source testing', 'central source']"
1691072,"['agreed throw', 'api icon', 'throw image', 'process image', 'processing fails']"
1661140,"['one thing', 'settings file', 'local settings', 'looking around', 'android studio']"
1635197,"['oncreate app', 'reality content', 'content process', 'firefox reality', 'application content']"
1704940,"['pixel xl', 'running android', 'xl running']"
1662835,"['page anymore', 'anymore let', 'also remove', 'github mobile']"
1648083,"['thread libc', 'crashing thread', 'bp top', 'crash report', 'report bp']"
1630148,"['account containers', 'containers account', 'containers add', 'browser tabs', 'version account']"
1515092,"['intended height', 'return menu', 'menu items', 'multiple items', 'moving multiple']"
1383652,"['zip ranked', 'created attachment']"
1515557,"['art system', 'boot art', 'art dalvik', 'focus using', 'cpp base']"
1577309,"['marking cpp', 'class mozilla', 'mozilla maybe', 'z build', 'cpp xul']"
1383629,"['zip ranked', 'created attachment']"
1734492,"['src panic', 'panic closure', 'begin panic', 'handle map', 'function fn']"
1579109,"['issues required', 'login management']"
1407472,"['attachment screenshot', 'created attachment', 'tabs open', 'white square', 'screenshot hit']"
1353480,"['row flickers', 'history panel', 'synced devices', 'menu row', 'devices menu']"
1397911,"['screen shot', 'pm png', 'incorrectly see', 'attachment screen', 'renders incorrectly']"
1383743,"['attachment crash', 'crash traces', 'created attachment', 'traces attached']"
1384152,"['activity stream', 'enable activity']"
1557758,"['looks like', 'c mobile', 'mobile android', 'related issues', 'see related']"
1389692,['flag change']
1393115,"['dylib terminating', 'page observed', 'uncaught exception', 'observed results', 'select find']"
1393308,"['photon menu', 'stabilized remove', 'longer used', 'code related', 'old mvc']"
1337437,"['open source', 'source version']"
1350589,"['stopped working', 'handoff stopped', 'meant spotlight', 'bug firefox', 'spotlight handoff']"
1351086,"['desktop device', 'reset first', 'also needs', 'device list', 'list always']"
1562110,"['orientation api', 'use device', 'device orientation']"
1537979,['work fine']
1365043,"['probably needs', 'gv consumer', 'gecko permissions', 'needs refactored', 'permissions interface']"
1331433,"['spinner crop', 'ios spinner', 'created attachment', 'devices container', 'attachment ios']"
1502426,"['developed yet', 'please see']"
1391426,['second patch']
1347973,"['via android', 'android studio']"
1457931,"['placeholder favicon', 'favicon missing']"
1574640,"['hinder local', 'valid certs', 'ssl certs', 'embedding app', 'local development']"
1346431,"['https lock', 'desktop version', 'display info', 'mobile chrome', 'lock icon']"
1388718,['text yet']
1382732,"['ios rk', 'rk issues']"
1558376,"['press location', 'location expected', 'hotels com', 'closes selecting', 'build android']"
1611904,"['open link', 'play store', 'white page', 'link id', 'sched leads']"
1439829,"['created attachment', 'attachment simulator', 'shot ipad', 'screen shot', 'ipad pro']"
1377782,"['user agent', 'agent mozilla', 'initially created', 'bug user']"
1450489,"['tab via', 'meta bug', 'work needed', 'via push', 'push box']"
1524083,"['x style', 'bottom buttons', 'iphone x', 'tab banner', 'style layout']"
1618554,"['exception component', 'component returned', 'parsed exception', 'js frame', 'add ons']"
1384704,"['edge scenario', 'frequently reproducible', 'clipboard edge', 'url comparison']"
1408405,"['created attachment', 'attachment jpeg', 'see screenshot', 'jpeg see']"
1450490,"['meta covers', 'work needed', 'receive tabs']"
1338540,"['browsing restart', 'first starting', 'regression install', 'fresh install', 'swift regression']"
1495045,"['inline adobe', 'inline mod', 'adobe mc', 'article inline', 'mod article']"
1590481,"['firefox logo', 'firefox ios', 'new firefox', 'ios uses', 'uses new']"
1403418,"['major graphical', 'graphical issues', 'original pdf', 'pdf document', 'exhibiting major']"
1389109,"['new minimal', 'minimal target']"
1439912,"['normal browsing', 'right aligned', 'bar result', 'bar switch', 'result top']"
1397848,"['ios try', 'ios phone', 'phone try', 'tab actual', 'sync expected']"
1539308,"['required pattern', 'gv api', 'pattern banana', 'input id', 'uses form']"
1359983,"['video controls', 'bug broke']"
1341939,"['remote timestamps', 'timestamps added']"
1410371,"['tests failing', 'logs build', 'build logs']"
1392327,"['via long', 'long tap', 'com via', 'created attachment', 'install firefox']"
1585323,"['app also', 'causes problems', 'gradle dependency', 'also tries']"
