Bug ID,Bigrams
1536820,"['test instrumentation', 'operating system', 'upload dir', 'filename tmp', 'tmp task']"
1466482,"['method evaluate', 'reflect method', 'method invoke', 'method run', 'status stream']"
1677708,"['public logs', 'artifacts public', 'reflect method', 'method invoke', 'method evaluate']"
1703350,"['com api', 'worker checkouts', 'job id', 'message id', 'checkouts gecko']"
1574141,"['runs artifacts', 'application crashed', 'model stepping', 'tmp dmp', 'family model']"
1500828,"['injecting javascript', 'like apps', 'account password', 'continue syncing', 'origin etc']"
1581661,"['central rev', 'foreground tab', 'activity java', 'correct central', 'high priority']"
1510718,"['public logs', 'artifacts public', 'com job', 'logs live', 'sp pc']"
1576375,"['may pdt', 'smp preempt', 'dump filename', 'pdt task', 'linux smp']"
1675210,"['call run', 'start org', 'org mozilla', 'call task', 'org internal']"
1607459,"['id repo', 'status class', 'app instrumentation', 'job id', 'runners statements']"
1604346,"['runner access', 'access task', 'com queue', 'rules run', 'thread run']"
1609388,"['runners statements', 'statements invoke', 'artifacts public', 'runs artifacts', 'statements run']"
1651335,"['test start', 'ci tc', 'runners statements', 'start org', 'tc services']"
1600289,"['test lambda', 'test java', 'test test', 'test android', 'android looper']"
1622463,"['public logs', 'lambda evaluate', 'evaluate task', 'lambda gecko', 'id repo']"
1656059,"['junit internal', 'lambda evaluate', 'test start', 'test assert', 'rule lambda']"
1622465,"['rule lambda', 'full log', 'rule invoke', 'backing log', 'log job']"
1660722,"['parsed log', 'log job', 'full log', 'log task', 'backing log']"
1610030,"['job id', 'id repo', 'api queue', 'statements invoke', 'live backing']"
1622466,"['test error', 'ci tc', 'log ci', 'backing log', 'parsed log']"
1675657,"['rule task', 'com parsed', 'os looper', 'parsed log', 'html task']"
1650262,"['reflect method', 'mozilla central', 'os handler', 'lang reflect', 'status stream']"
1579555,"['android os', 'internal runners', 'proxy invoke', 'expected true', 'test expected']"
1609600,"['info test', 'test info', 'test test', 'test util', 'status class']"
1602164,"['status current', 'current task', 'com api', 'status id', 'job id']"
1603653,"['full log', 'test util', 'parsed log', 'internal os', 'log job']"
1608563,"['api queue', 'com api', 'status stream', 'parsed log', 'full log']"
1622467,"['lambda gecko', 'junit internal', 'id repo', 'internal runners', 'stream task']"
1450096,"['org mozilla', 'mozilla gecko', 'repo mozilla', 'workspace build', 'mozilla com']"
1523001,"['unexpected fail', 'markdown filed', 'id repo', 'test pass', 'runs artifacts']"
1651729,"['status current', 'status test', 'status stream', 'instrumentation status', 'test instrumentation']"
1672167,"['test instrumentation', 'test web', 'worker fetches', 'full log', 'services mozilla']"
1675785,"['job id', 'backing log', 'full log', 'live backing', 'info test']"
1531684,"['id android', 'looper loop', 'android os', 'android app', 'java lang']"
1599736,"['model stepping', 'filename tmp', 'family model', 'job id', 'application crashed']"
1642993,"['status stream', 'runners model', 'instrumentation status', 'app instrumentation', 'artifacts logs']"
1603735,"['status stream', 'stream task', 'android os', 'logs live', 'android app']"
1602831,"['assert assert', 'test assert', 'junit assert', 'access task', 'api queue']"
1452794,"['worker workspace', 'import org', 'java org', 'child child', 'mobile android']"
1564372,"['mozilla com', 'com parsed', 'org mozilla', 'runs artifacts', 'parsed log']"
1604983,"['services mozilla', 'method invoke', 'reflect method', 'mozilla com', 'org mozilla']"
1609294,"['looper loop', 'mozilla central', 'rule lambda', 'api queue', 'os looper']"
1485632,"['looper loop', 'loop task', 'mozilla com', 'com job', 'java lang']"
1654600,"['app info', 'info boot', 'api queue', 'com api', 'info operating']"
1676245,"['junit rules', 'method run', 'stack java', 'logs live', 'org junit']"
1550851,"['main task', 'org mozilla', 'error total', 'internal os', 'total count']"
1613874,"['android app', 'tc services', 'artifacts public', 'task info', 'services mozilla']"
1622459,"['info took', 'ci tc', 'unexpected fail', 'took task', 'full log']"
1609814,"['full log', 'status class', 'web socket', 'socket server', 'info stopping']"
1622460,"['api queue', 'com api', 'id repo', 'internal runners', 'test start']"
1608928,"['looper loop', 'runners statements', 'statements run', 'public logs', 'job id']"
1550894,"['mozilla com', 'live backing', 'com android', 'com parsed', 'backing log']"
1676423,"['os looper', 'input result', 'os handler', 'task info', 'lang reflect']"
1718205,"['android app', 'app instrumentation', 'junit rules', 'org mozilla', 'statements invoke']"
1737422,"['request collapsed', 'artifacts public', 'runs artifacts', 'api queue', 'collapsed missing']"
1746444,"['tc services', 'ci tc', 'id repo', 'repo mozilla', 'e egl']"
