Bug ID,Bigrams
576714.0,"['affected versions', 'mina apache', 'apache org', 'sshd commit', 'org sshd']"
517250.0,"['team approval', 'ip team', 'material release', 'cgi id', 'require ip']"
538671.0,"['please create', 'concurrency utilities', 'eclipse project']"
527762.0,"['id payload', 'script alert', 'alert script', 'item id', 'created attachment']"
539770.0,"['accept cookies', 'via http', 'anonymously via', 'asked exactly', 'connect anonymously']"
543311.0,['login page']
523546.0,[]
520810.0,[]
511072.0,"['repo eclipse', 'response console', 'due response', 'builds fail', 'upload artefacts']"
563091.0,"['jdk hotspot', 'hotspot latest', 'use jdk', 'pipeline builds', 'vm option']"
564131.0,"['multiple failures', 'subsequent builds', 'gerrit gerrit']"
576924.0,"['bad gateway', 'gateway nginx', 'gives bad']"
528219.0,"['tycho soon', 'deprecated soon']"
512383.0,"['files opened', 'another workspace', 'electron orion', 'one workspace', 'user switch']"
513426.0,"['please see', 'installed via', 'repo please', 'git repo', 'see mediawiki']"
518675.0,"['master f', 'origin master', 'b master', 'open checkout', 'remote add']"
519731.0,['merge patches']
521520.0,"['file ide', 'created attachment', 'ide splash', 'main screen', 'log file']"
525760.0,"['menu item', 'eclipse oxygen', 'oxygen release', 'created attachment', 'unavailable menu']"
528946.0,"['x report', 'r x', 'os x', 'x sm', 'task libjvm']"
535400.0,"['new target', 'target milestones']"
535535.0,"['websites work', 'ci eclipse', 'eclipse org']"
536453.0,"['example job', 'job gerrit']"
538294.0,"['c gerrit', 'gerrit jobs', 'yesterday c', 'since yesterday']"
540162.0,"['south germany', 'france south', 'dev html', 'issues dev', 'project issues']"
540943.0,"['status shows', 'dead offline', 'shows dead']"
544627.0,"['get digital', 'please let', 'operations processes', 'processes due', 'internal operations']"
547834.0,"['java net', 'search button', 'changes fails', 'connection reset', 'com jcraft']"
558452.0,"['connection connect', 'archive content', 'gmt content', 'connect int', 'connection get']"
559013.0,[]
560504.0,"['uninitialized uninitialized', 'integer uninitialized', 'public static', 'static void', 'table full']"
561799.0,"['node log', 'eclipse org', 'execution node', 'view builds', 'build execution']"
562301.0,"['also pushing', 'inserting change', 'pushing changes', 'since yesterday', '„ internal']"
566038.0,"['lib dyld', 'usr lib', 'version code', 'code type', 'lib libobjc']"
569348.0,"['chrome friendly', 'error occurred', 'occurred error', 'responding error', 'error message']"
569941.0,"['final boolean', 'code unable', 'variable final', 'true string', 'following code']"
